UF,regional,municipio,co_municipio,no_municipio
SC,Coordenadoria Regional de Educação de Ituporanga,Aurora,4201901,Aurora
PA,Mãe do rio,aurora do Pará,1500958,Aurora do Pará
TO,ARRAIAS,Aurora do Tocantins,1702703,Aurora do Tocantins
AM,Centro Amazonense,Autazes,1300300,Autazes
SP,BAURU,AVAI,3504305,Avaí
SP,PENAPOLIS,AVANHANDAVA,3504404,Avanhandava
SP,AVARE,AVARE,3504503,Avaré
PA,santarém,aveiro,1501006,Aveiro
PI,15ª,AVELINO LOPES,2201101,Avelino Lopes
GO,CRE-TRINDADE,AVELINÓPOLIS,5202809,Avelinópolis
MA,rosario,axixa,2101103,Axixá
TO,ARAGUATINS,Axixá do Tocantins,1702901,Axixá do Tocantins
TO,ARAGUAINA,Babaçulândia,1703008,Babaçulândia
MA,bacabal,bacabal,2101202,Bacabal
MA,rosario,bacabeira,2101251,Bacabeira
MA,pinheiro,bacuri,2101301,Bacuri
MA,viana,bacurituba,2101350,Bacurituba
SP,SAO JOSE DO RIO PRETO,BADY BASSITT,3504602,Bady Bassitt
MG,SRE CAXAMBU,BAEPENDI,3104908,Baependi
RS,13º CRE (Bagé),Bagé,4301602,Bagé
PA,Breves,Bagre,1501105,Bagre
PB,Mamanguape,Baía da Traição,2501401,Baía da Traição
RN,2,baia formosa,2401404,Baía Formosa
BA,11,Baianópolis,2902500,Baianópolis
PA,cametá,Baião,1501204,Baião
BA,15,BAIXA GRANDE,2902609,Baixa Grande
PI,11ª,BAIXA GRANDE DO RIBEIRO,2201150,Baixa Grande do Ribeiro
CE,CREDE 17,Baixio,2301802,Baixio
ES,SRE Colatina,Baixo Guandu,3200805,Baixo Guandu
SP,BAURU,BALBINOS,3504701,Balbinos
MG,SRE SETE LAGOAS,BALDIM,3105004,Baldim
GO,CRE-PIRANHAS,BALIZA,5203104,Baliza
SC,Coordenadoria Regional de Educação de Araranguá,Balneário Arroio do Silva,4201950,Balneário Arroio do Silva
SC,Coordenadoria Regional de Educação de Joinville,Balneário Barra do Sul,4202057,Balneário Barra do Sul
SC,Coordenadoria Regional de Educação de Itajaí,Balneário Camboriú,4202008,Balneário Camboriú
SC,Coordenadoria Regional de Educação de Araranguá,Balneário Gaivota,4202073,Balneário Gaivota
SC,Coordenadoria Regional de Educação de Itajaí,Balneário Piçarras,4212809,Balneário Piçarras
RS,11º CRE (Osório),Balneário Pinhal,4301636,Balneário Pinhal
SC,Coordenadoria Regional de Educação de Criciúma,Balneário Rincão,4220000,Balneário Rincão
PR,AREA METROPOLITANA SUL,BALSA NOVA,4102307,Balsa Nova
SP,JOSE BONIFACIO,BALSAMO,3504800,Bálsamo
MA,balsas,balsas,2101400,Balsas
MG,SRE DIVINÓPOLIS,BAMBUÍ,3105103,Bambuí
CE,CREDE 12,Banabuiú,2301851,Banabuiú
SP,GUARATINGUETA,BANANAL,3504909,Bananal
PB,Guarabira,Bananeiras,2501500,Bananeiras
MG,SRE ALMENARA,BANDEIRA,3105202,Bandeira
MG,SRE POÇOS DE CALDAS,BANDEIRA DO SUL,3105301,Bandeira do Sul
SC,Coordenadoria Regional de Educação de São Miguel do Oeste,Bandeirante,4202081,Bandeirante
MS,CRE 2,Bandeirantes,5001508,Bandeirantes
PR,CORNELIO PROCOPIO,BANDEIRANTES,4102406,Bandeirantes
TO,COLINAS DO TOCANTINS,Bandeirantes do Tocantins,1703057,Bandeirantes do Tocantins
PA,Xinguara,Bannach,1501253,Bannach
BA,17,Banzaê,2902658,Banzaê
RS,2º CRE (São Leopoldo),Barão,4301651,Barão
SP,ITARARE,BARAO DE ANTONINA,3505005,Barão de Antonina
MG,SRE METROPOLITANA A,BARÃO DE COCAIS,3105400,Barão de Cocais
RS,15º CRE (Erechim),Barao de Cotegipe,4301701,Barão de Cotegipe
MA,são joao dos patos,barao de grajau,2101509,Barão de Grajaú
MT,CUIABÁ,Barão de Melgaço,5101605,Barão de Melgaço
MG,SRE MURIAÉ,Barão do Monte Alto,3105509,Barão do Monte Alto
RS,12º CRE (Guaíba),Barão do Triunfo,4301750,Barão do Triunfo
PB,Cuité,Baraúna,2501534,Baraúna
RN,12,barauna,2401453,Baraúna
MG,SRE BARBACENA,BARBACENA,3105608,Barbacena
CE,CREDE 19,Barbalha,2301901,Barbalha
SP,PENAPOLIS,BARBOSA,3505104,Barbosa
PR,CAMPO MOURAO,BARBOSA FERRAZ,4102505,Barbosa Ferraz
PA,abaetetuba,Barcarena,1501303,Barcarena
RN,4,barcelona,2401503,Barcelona
AM,Norte Amazonense,Barcelos,1300409,Barcelos
SP,JAU,BARIRI,3505203,Bariri
BA,2,Barra,2902708,Barra
SC,Coordenadoria Regional de Educação de São Miguel do Oeste,Barra Bonita,4202099,Barra Bonita
SP,JAU,BARRA BONITA,3505302,Barra Bonita
PI,07ª,Barra D'Alcântara,2201176,Barra D'Alcântara
BA,3,Barra da Estiva,2902807,Barra da Estiva
PE,MATA CENTRO (VITÓRIA DE SANTO ANTÃO),Barra de Guabiraba,2601300,Barra de Guabiraba
PB,Cuité,Barra de Santa Rosa,2501609,Barra de Santa Rosa
PB,Campina Grande,Barra de Santana,2501575,Barra de Santana
AL,10a GEE,Barra de Santo Antônio,2700508,Barra de Santo Antônio
ES,SRE Barra de São Francisco,Barra de São Francisco,3200904,Barra de São Francisco
AL,2a GEE,Barra de São Miguel,2700607,Barra de São Miguel
PB,Campina Grande,Barra de São Miguel,2501708,Barra de São Miguel
MT,TANGARÁ DA SERRA,Barra do Bugres,5101704,Barra do Bugres
SP,APIAI,BARRA DO CHAPEU,3505351,Barra do Chapéu
BA,20,BARRA DO CHOCA,2902906,Barra do Choça
MA,barra do corda,barra do corda,2101608,Barra do Corda
MT,BARRA DO GARÇAS,Barra do Garças,5101803,Barra do Garças
RS,21º CRE (Três Passos),Barra do Guarita,4301859,Barra do Guarita
PR,JACAREZINHO,BARRA DO JACARE,4102703,Barra do Jacaré
BA,1,Barra do Mendes,2903003,Barra do Mendes
TO,ARAGUAINA,Barra do Ouro,1703073,Barra do Ouro
RJ,CENTRO-SUL,Barra do Piraí,3300308,Barra do Piraí
RS,10º CRE (Uruguaiana),Barra do Quaraí,4301875,Barra do Quaraí
RS,12º CRE (Guaíba),Barra do Ribeiro,4301909,Barra do Ribeiro
RS,15º CRE (Erechim),Barra do Rio Azul,4301925,Barra do Rio Azul
BA,22,BARRA DO ROCHA,2903102,Barra do Rocha
SP,REGISTRO,BARRA DO TURVO,3505401,Barra do Turvo
SE,DRE08,BARRA DOS COQUEIROS,2800605,Barra dos Coqueiros
RS,39º CRE (Carazinho),Barra Funda,4301958,Barra Funda
MG,SRE PONTE NOVA,BARRA LONGA,3105707,Barra Longa
RJ,SUL FLUMINENSE,Barra Mansa,3300407,Barra Mansa
SC,Coordenadoria Regional de Educação de Joinville,Barra Velha,4202107,Barra Velha
PR,FRANCISCO BELTRAO,BARRACAO,4102604,Barracão
RS,15º CRE (Erechim),Barracão,4301800,Barracão
PI,02ª,BARRAS,2201200,Barras
CE,CREDE 08,Barreira,2301950,Barreira
BA,11,Barreiras,2903201,Barreiras
PI,15ª,BARREIRAS DO PIAUI,2201309,Barreiras do Piauí
AM,Centro Amazonense,Barreirinha,1300508,Barreirinha
MA,rosario,barreirinhas,2101707,Barreirinhas
PE,MATA SUL (PALMARES),Barreiros,2601409,Barreiros
SP,BARRETOS,BARRETOS,3505500,Barretos
SP,SERTAOZINHO,BARRINHA,3505609,Barrinha
CE,CREDE 20,Barro,2302008,Barro
BA,1,Barro Alto,2903235,Barro Alto
GO,CRE-GOIANÉSIA,BARRO ALTO,5203203,Barro Alto
PI,18ª,BARRO DURO,2201408,Barro Duro
BA,5,Barro Preto,2903300,Barro Preto
BA,4,Barrocas,2903276,Barrocas
TO,PARAISO DO TOCANTINS,Barrolândia,1703107,Barrolândia
CE,CREDE 04,Barroquinha,2302057,Barroquinha
RS,25º CRE (Soledade),Barros Cassal,4302006,Barros Cassal
MG,SRE BARBACENA,BARROSO,3105905,Barroso
SP,ITAPEVI,BARUERI,3505708,Barueri
SP,TUPA,BASTOS,3505807,Bastos
MS,CRE 9,Bataguassu,5001904,Bataguassu
AL,8a GEE,Batalha,2700706,Batalha
PI,02ª,BATALHA,2201507,Batalha
SP,RIBEIRAO PRETO,BATATAIS,3505906,Batatais
MS,CRE 9,Batayporã,5002001,Batayporã
CE,CREDE 08,Baturité,2302107,Baturité
SP,BAURU,BAURU,3506003,Bauru
PB,João Pessoa,Bayeux,2501807,Bayeux
SP,JABOTICABAL,BEBEDOURO,3506102,Bebedouro
CE,CREDE 09,Beberibe,2302206,Beberibe
CE,CREDE 03,Bela Cruz,2302305,Bela Cruz
MS,CRE 7,Bela Vista,5002100,Bela Vista
PR,FRANCISCO BELTRAO,BELA VISTA DA CAROBA,4102752,Bela Vista da Caroba
GO,CRE-PIRACANJUBA,BELA VISTA DE GOIÁS,5203302,Bela Vista de Goiás
MG,SRE NOVA ERA,BELA VISTA DE MINAS,3106002,Bela Vista de Minas
MA,santa ines,bela vista do maranhao,2101772,Bela Vista do Maranhão
PR,LONDRINA,BELA VISTA DO PARAISO,4102802,Bela Vista do Paraíso
PI,12ª,BELA VISTA DO PIAUI,2201556,Bela Vista do Piauí
SC,Coordenadoria Regional de Educação de Canoinhas,Bela Vista do Toldo,4202131,Bela Vista do Toldo
MA,itapecuru-mirim,belagua,2101731,Belágua
AL,3a GEE,Belém,2700805,Belém
PA,Belém,Belém,1501402,Belém
PB,Guarabira,Belém,2501906,Belém
PE,MATA SUL (PALMARES),Belém de Maria,2601508,Belém de Maria
PB,Catolé do Rocha,Belém do Brejo do Cruz,2502003,Belém do Brejo do Cruz
PI,16ª,BELEM DO PIAUI,2201572,Belém do Piauí
PE,SERTÃO DO SUBMÉDIO SÃO FRANCISCO (FLORESTA),Belém do São Francisco,2601607,Belém do São Francisco
RJ,METROPOLITANA VII,Belford Roxo,3300456,Belford Roxo
MG,SRE JUIZ DE FORA,BELMIRO BRAGA,3106101,Belmiro Braga
BA,27,BELMONTE,2903409,Belmonte
SC,Coordenadoria Regional de Educação de São Miguel do Oeste,Belmonte,4202156,Belmonte
BA,20,BELO CAMPO,2903508,Belo Campo
MG,Belo Horizonte,BELO HORIZONTE,3106200,Belo Horizonte
PE,AGRESTE CENTRO NORTE (CARUARU),Belo Jardim,2601706,Belo Jardim
AL,8a GEE,Belo Monte,2700904,Belo Monte
MG,SRE CORONEL FABRICIANO,BELO ORIENTE,3106309,Belo Oriente
MG,SRE METROPOLITANA A,BELO VALE,3106408,Belo Vale
PA,santarém,Belterra,1501451,Belterra
PI,18ª,BENEDITINOS,2201606,Beneditinos
MA,são joao dos patos,benedito leite,2101806,Benedito Leite
SC,Coordenadoria Regional de Educação de Timbó,Benedito Novo,4202206,Benedito Novo
PA,Benevides,Benevides,1501501,Benevides
AM,Sudoeste Amazonense,Benjamin Constant,1300607,Benjamin Constant
RS,15º CRE (Erechim),Benjamin Constant do Sul,4302055,Benjamin Constant do Sul
SP,ARACATUBA,BENTO DE ABREU,3506201,Bento de Abreu
RS,16º CRE (Bento Gonçalves),Bento Gonçalves,4302105,Bento Gonçalves
MA,pinheiro,bequimao,2101905,Bequimão
MG,SRE ARAÇUAÍ,BERILO,3106507,Berilo
MG,SRE ARAÇUAÍ,BERIZAL,3106655,Berizal
PB,Cajazeiras,Bernardino Batista,2502052,Bernardino Batista
SP,OURINHOS,BERNARDINO DE CAMPOS,3506300,Bernardino de Campos
MA,pedreiras,bernardo do mearim,2101939,Bernardo do Mearim
TO,COLINAS DO TOCANTINS,Bernardo Sayão,1703206,Bernardo Sayão
SP,SANTOS,BERTIOGA,3506359,Bertioga
PI,11ª,BERTOLINIA,2201705,Bertolínia
MG,SRE TEÓFILO OTONI,BERTÓPOLIS,3106606,Bertópolis
AM,Centro Amazonense,Beruri,1300631,Beruri
PE,SERTÃO DO MOXOTÓ IPANEMA (ARCOVERDE),Betânia,2601805,Betânia
PI,17ª,Betânia do Piauí,2201739,Betânia do Piauí
MG,SRE METROPOLITANA B,BETIM,3106705,Betim
PE,MATA CENTRO (VITÓRIA DE SANTO ANTÃO),Bezerros,2601904,Bezerros
MG,SRE BARBACENA,BIAS FORTES,3106804,Bias Fortes
MG,SRE JUIZ DE FORA,BICAS,3106903,Bicas
SC,Coordenadoria Regional de Educação de Florianópolis,Biguaçu,4202305,Biguaçu
SP,BIRIGUI,BILAC,3506409,Bilac
MG,SRE PARÁ DE MINAS,BIQUINHAS,3107000,Biquinhas
SP,BIRIGUI,BIRIGUI,3506508,Birigui
SP,MOGI DAS CRUZES,BIRITIBA-MIRIM,3506607,Biritiba Mirim
BA,4,Biritinga,2903607,Biritinga
PR,UNIAO DA VITORIA,BITURUNA,4102901,Bituruna
SC,Coordenadoria Regional de Educação de Blumenau,Blumenau,4202404,Blumenau
ES,SRE Nova Venécia,Boa Esperança,3201001,Boa Esperança
MG,SRE VARGINHA,BOA ESPERANÇA,3107109,Boa Esperança
PR,GOIOERE,BOA ESPERANCA,4103008,Boa Esperança
PR,DOIS VIZINHOS,BOA ESPERANCA DO IGUACU,4103024,Boa Esperança do Iguaçu
SP,ARARAQUARA,BOA ESPERANCA DO SUL,3506706,Boa Esperança do Sul
PI,05ª,Boa Hora,2201770,Boa Hora
BA,22,BOA NOVA,2903706,Boa Nova
PB,Itaporanga,Boa Ventura,2502102,Boa Ventura
PR,PITANGA,BOA VENTURA DE SAO ROQUE,4103040,Boa Ventura de São Roque
CE,CREDE 12,Boa Viagem,2302404,Boa Viagem
PB,Campina Grande,Boa Vista,2502151,Boa Vista
RR,RR,Boa Vista,1400100,Boa Vista
PR,CASCAVEL,BOA VISTA DA APARECIDA,4103057,Boa Vista da Aparecida
RS,20º CRE (Palmeira das Missões),Boa Vista das Missões,4302154,Boa Vista das Missões
RS,17º CRE (Santa Rosa),Boa Vista do Buricá,4302204,Boa Vista do Buricá
RS,9º CRE (Cruz Alta),Boa Vista do Cadeado,4302220,Boa Vista do Cadeado
MA,ze doca,boa vista do gurupi,2101970,Boa Vista do Gurupi
RS,9º CRE (Cruz Alta),Boa Vista do Incra,4302238,Boa Vista do Incra
AM,Centro Amazonense,Boa Vista do Ramos,1300680,Boa Vista do Ramos
RS,16º CRE (Bento Gonçalves),Boa Vista do Sul,4302253,Boa Vista do Sul
BA,14,BOA VISTA DO TUPIM,2903805,Boa Vista do Tupim
AL,2a GEE,Boca da Mata,2701001,Boca da Mata
AM,Sul Amazonense,Boca do Acre,1300706,Boca do Acre
PI,09ª,BOCAINA,2201804,Bocaina
SP,JAU,BOCAINA,3506805,Bocaina
MG,SRE CAXAMBU,BOCAINA DE MINAS,3107208,Bocaina de Minas
SC,Coordenadoria Regional de Educação de Lages,Bocaina do Sul,4202438,Bocaina do Sul
MG,SRE MONTES CLAROS,BOCAIÚVA,3107307,Bocaiúva
PR,AREA METROPOLITANA NORTE,BOCAIUVA DO SUL,4103107,Bocaiúva do Sul
RN,8,bodo,2401651,Bodó
PE,SERTÃO DO ARARIPE (ARARIPINA),Bodocó,2602001,Bodocó
MS,CRE 1,Bodoquena,5002159,Bodoquena
SP,BOTUCATU,BOFETE,3506904,Bofete
SP,ITU,BOITUVA,3507001,Boituva
PE,AGRESTE MERIDIONAL (GARANHUNS),Bom Conselho,2602100,Bom Conselho
MG,SRE PARÁ DE MINAS,BOM DESPACHO,3107406,Bom Despacho
MA,santa ines,bom jardim,2102002,Bom Jardim
PE,VALE DO CAPIBARIBE (LIMOEIRO),Bom Jardim,2602209,Bom Jardim
RJ,SERRANA II,Bom Jardim,3300506,Bom Jardim
SC,Coordenadoria Regional de Educação de São Joaquim,Bom Jardim da Serra,4202503,Bom Jardim da Serra
GO,CRE-PIRANHAS,BOM JARDIM DE GOIÁS,5203401,Bom Jardim de Goiás
MG,SRE JUIZ DE FORA,BOM JARDIM DE MINAS,3107505,Bom Jardim de Minas
PB,Cajazeiras,Bom Jesus,2502201,Bom Jesus
PI,14ª,BOM JESUS,2201903,Bom Jesus
RN,4,bom jesus,2401701,Bom Jesus
RS,23º CRE (Vacaria),Bom Jesus,4302303,Bom Jesus
SC,Coordenadoria Regional de Educação de Xanxerê,Bom Jesus,4202537,Bom Jesus
BA,2,Bom Jesus da Lapa,2903904,Bom Jesus da Lapa
MG,SRE PASSOS,BOM JESUS DA PENHA,3107604,Bom Jesus da Penha
BA,20,BOM JESUS DA SERRA,2903953,Bom Jesus da Serra
MA,açailandia,bom jesus das selvas,2102036,Bom Jesus das Selvas
GO,CRE-ITUMBIARA,BOM JESUS DE GOIÁS,5203500,Bom Jesus de Goiás
MG,SRE METROPOLITANA A,BOM JESUS DO AMPARO,3107703,Bom Jesus do Amparo
MT,CONFRESA,Bom Jesus do Araguaia,5101852,Bom Jesus do Araguaia
MG,SRE CARATINGA,BOM JESUS DO GALHO,3107802,Bom Jesus do Galho
RJ,NOROESTE FLUMINENSE,Bom Jesus do Itabapoana,3300605,Bom Jesus do Itabapoana
ES,SRE Guaçuí,Bom Jesus do Norte,3201100,Bom Jesus do Norte
SC,Coordenadoria Regional de Educação de Maravilha,Bom Jesus do Oeste,4202578,Bom Jesus do Oeste
PR,FRANCISCO BELTRAO,BOM JESUS DO SUL,4103156,Bom Jesus do Sul
PA,"",Bom Jesus do tocantins,1501576,Bom Jesus do Tocantins
TO,PEDRO AFONSO,Bom Jesus do Tocantins,1703305,Bom Jesus do Tocantins
SP,BRAGANCA PAULISTA,BOM JESUS DOS PERDOES,3507100,Bom Jesus dos Perdões
MA,bacabal,bom lugar,2102077,Bom Lugar
RS,2º CRE (São Leopoldo),Bom Princípio,4302352,Bom Princípio
PI,01ª,BOM PRINCIPIO DO PIAUI,2201919,Bom Princípio do Piauí
RS,21º CRE (Três Passos),Bom Progresso,4302378,Bom Progresso
MG,SRE POUSO ALEGRE,BOM REPOUSO,3107901,Bom Repouso
SC,Coordenadoria Regional de Educação de São Joaquim,Bom Retiro,4202602,Bom Retiro
RS,3º CRE (Estrela),Bom Retiro do Sul,4302402,Bom Retiro do Sul
MG,SRE SÃO JOÃO DEL REI,BOM SUCESSO,3108008,Bom Sucesso
PB,Catolé do Rocha,Bom Sucesso,2502300,Bom Sucesso
PR,APUCARANA,BOM SUCESSO,4103206,Bom Sucesso
SP,ITARARE,BOM SUCESSO DE ITARARE,3507159,Bom Sucesso de Itararé
PR,PATO BRANCO,BOM SUCESSO DO SUL,4103222,Bom Sucesso do Sul
SC,Coordenadoria Regional de Educação de Itajaí,Bombinhas,4202453,Bombinhas
MG,SRE METROPOLITANA A,BONFIM,3108107,Bonfim
RR,RR,Bonfim,1400159,Bonfim
PI,13ª,BONFIM DO PIAUI,2201929,Bonfim do Piauí
GO,CRE-APARECIDA,BONFINÓPOLIS,5203559,Bonfinópolis
MG,SRE UNAÍ,BONFINÓPOLIS DE MINAS,3108206,Bonfinópolis de Minas
BA,3,Boninal,2904001,Boninal
BA,3,Bonito,2904050,Bonito
MS,CRE 7,Bonito,5002209,Bonito
PA,capanema,Bonito,1501600,Bonito
PE,MATA CENTRO (VITÓRIA DE SANTO ANTÃO),Bonito,2602308,Bonito
MG,SRE JANUÁRIA,BONITO DE MINAS,3108255,Bonito de Minas
PB,Cajazeiras,Bonito de Santa Fé,2502409,Bonito de Santa Fé
GO,CRE-PORANGATU,BONOPOLIS,5203575,Bonópolis
PB,Campina Grande,Boqueirão,2502508,Boqueirão
RS,6º CRE (Santa Cruz do Sul),Boqueirão do Leão,4302451,Boqueirão do Leão
PI,05ª,Boqueirão do Piauí,2201945,Boqueirão do Piauí
SE,DRE01,BOQUIM,2800670,Boquim
BA,12,Boquira,2904100,Boquira
SP,ASSIS,BORA,3507209,Borá
SP,JAU,BORACEIA,3507308,Boracéia
AM,Sul Amazonense,Borba,1300805,Borba
PB,Guarabira,Borborema,2502706,Borborema
SP,TAQUARITINGA,BORBOREMA,3507407,Borborema
MG,SRE POUSO ALEGRE,BORDA DA MATA,3108305,Borda da Mata
SP,JAU,BOREBI,3507456,Borebi
PR,APUCARANA,BORRAZOPOLIS,4103305,Borrazópolis
RS,32º CRE (São Luiz Gonzaga),Bossoroca,4302501,Bossoroca
MG,SRE POÇOS DE CALDAS,BOTELHOS,3108404,Botelhos
SP,BOTUCATU,BOTUCATU,3507506,Botucatu
MG,SRE MONTES CLAROS,BOTUMIRIM,3108503,Botumirim
BA,12,Botuporã,2904209,Botuporã
SC,Coordenadoria Regional de Educação de Brusque,Botuverá,4202701,Botuverá
RS,36º CRE (Ijuí),Bozano,4302584,Bozano
SC,Coordenadoria Regional de Educação de Braço do Norte,Braço do Norte,4202800,Braço do Norte
SC,Coordenadoria Regional de Educação de Rio do Sul,Braço do Trombudo,4202859,Braço do Trombudo
RS,21º CRE (Três Passos),Braga,4302600,Braga
PA,Bragança,Bragança,1501709,Bragança
SP,BRAGANCA PAULISTA,BRAGANCA PAULISTA,3507605,Bragança Paulista
PR,CASCAVEL,BRAGANEY,4103354,Braganey
AL,7a GEE,Branquinha,2701100,Branquinha
MG,SRE UBÁ,BRÁS PIRES,3108701,Brás Pires
PA,altamira,Brasil Novo,1501725,Brasil Novo
MS,CRE 12,Brasilândia,5002308,Brasilândia
MG,SRE PARACATU,BRASILÂNDIA DE MINAS,3108552,Brasilândia de Minas
PR,ASSIS CHATEAUBRIAND,BRASILANDIA DO SUL,4103370,Brasilândia do Sul
TO,COLINAS DO TOCANTINS,Brasilândia do Tocantins,1703602,Brasilândia do Tocantins
AC,ALTO ACRE,BRASILEIA,1200104,Brasiléia
PI,03ª,BRASILEIRA,2201960,Brasileira
DF,DF,Brasilia,5300108,Brasília
MG,SRE MONTES CLAROS,BRASÍLIA DE MINAS,3108602,Brasília de Minas
MT,JUINA,Brasnorte,5101902,Brasnorte
SP,PENAPOLIS,BRAUNA,3507704,Braúna
MG,SRE CORONEL FABRICIANO,BRAÚNAS,3108800,Braúnas
GO,CRE-INHUMAS,BRAZABRANTES,5203609,Brazabrantes
MG,SRE ITAJUBÁ,BRAZÓPOLIS,3108909,Brazópolis
PE,AGRESTE MERIDIONAL (GARANHUNS),Brejão,2602407,Brejão
ES,SRE Afonso Cláudio,Brejetuba,3201159,Brejetuba
PE,SERTÃO DO ALTO PAJEÚ (AFOGADOS DA INGAZEIRA),Brejinho,2602506,Brejinho
RN,3,brejinho,2401800,Brejinho
TO,PORTO NACIONAL,Brejinho de Nazaré,1703701,Brejinho de Nazaré
MA,chapadinha,brejo,2102101,Brejo
SP,BIRIGUI,BREJO ALEGRE,3507753,Brejo Alegre
PE,AGRESTE CENTRO NORTE (CARUARU),Brejo da Madre de Deus,2602605,Brejo da Madre de Deus
MA,bacabal,brejo de areia,2102150,Brejo de Areia
PB,Catolé do Rocha,Brejo do Cruz,2502805,Brejo do Cruz
PI,12ª,Brejo do Piauí,2201988,Brejo do Piauí
PB,Catolé do Rocha,Brejo dos Santos,2502904,Brejo dos Santos
SE,DRE06,BREJO GRANDE,2800704,Brejo Grande
PA,"",Brejo Grande do araguaia,1501758,Brejo Grande do Araguaia
CE,CREDE 20,Brejo Santo,2302503,Brejo Santo
BA,9,Brejões,2904308,Brejões
BA,23,BREJOLANDIA,2904407,Brejolândia
PA,tucuruí,Breu Branco,1501782,Breu Branco
PA,Breves,Breves,1501808,Breves
GO,CRE-JUSSARA,BRITÂNIA,5203807,Britânia
RS,2º CRE (São Leopoldo),Brochier,4302659,Brochier
SP,RIBEIRAO PRETO,BRODOWSKI,3507803,Brodowski
SP,JAU,BROTAS,3507902,Brotas
BA,2,Brotas de Macaúbas,2904506,Brotas de Macaúbas
MG,SRE METROPOLITANA A,BRUMADINHO,3109006,Brumadinho
BA,13,Brumado,2904605,Brumado
SC,Coordenadoria Regional de Educação de Campos Novos,Brunópolis,4202875,Brunópolis
SC,Coordenadoria Regional de Educação de Brusque,Brusque,4202909,Brusque
MG,SRE POUSO ALEGRE,BUENO BRANDÃO,3109105,Bueno Brandão
MG,SRE CURVELO,BUENÓPOLIS,3109204,Buenópolis
PE,MATA NORTE (NAZARÉ DA MATA),Buenos Aires,2602704,Buenos Aires
BA,5,Buerarema,2904704,Buerarema
MG,SRE CARATINGA,BUGRE,3109253,Bugre
PE,SERTÃO DO MOXOTÓ IPANEMA (ARCOVERDE),Buíque,2602803,Buíque
AC,BAIXO ACRE,BUJARI,1200138,Bujari
PA,santa izabel do Pará,Bujaru,1501907,Bujaru
SP,ITAPEVA,BURI,3508009,Buri
SP,BIRIGUI,BURITAMA,3508108,Buritama
MA,chapadinha,buriti,2102200,Buriti
GO,CRE-ITUMBIARA,BURITI ALEGRE,5203906,Buriti Alegre
MA,são joao dos patos,buriti bravo,2102309,Buriti Bravo
GO,CRE-GOIÁS,BURITI DE GOIÁS,5203939,Buriti de Goiás
TO,ARAGUATINS,Buriti do Tocantins,1703800,Buriti do Tocantins
PI,01ª,BURITI DOS LOPES,2202000,Buriti dos Lopes
PI,05ª,BURITI DOS MONTES,2202026,Buriti dos Montes
MA,açailandia,buriticupu,2102325,Buriticupu
GO,CRE-POSSE,BURITINÓPOLIS,5203962,Buritinópolis
BA,11,Buritirama,2904753,Buritirama
MA,imperatriz,buritirana,2102358,Buritirana
MG,SRE UNAÍ,BURITIS,3109303,Buritis
RO,BURITIS,Buritis,1100452,Buritis
RO,BURITIS,Buritis,1100452,Buritis
RO,BURITIS,Buritis,1100452,Buritis
SP,SAO JOAQUIM DA BARRA,BURITIZAL,3508207,Buritizal
MG,SRE PIRAPORA,BURITIZEIRO,3109402,Buritizeiro
RS,12º CRE (Guaíba),Butiá,4302709,Butiá
AM,Centro Amazonense,Caapiranga,1300839,Caapiranga
PB,João Pessoa,Caaporã,2503001,Caaporã
MS,CRE 5,Caarapó,5002407,Caarapó
BA,8,Caatiba,2904803,Caatiba
PB,Campina Grande,Cabaceiras,2503100,Cabaceiras
BA,21,CABACEIRAS DO PARAGUACU,2904852,Cabaceiras do Paraguaçu
MG,SRE UNAÍ,CABECEIRA GRANDE,3109451,Cabeceira Grande
GO,CRE-FORMOSA,CABECEIRAS,5204003,Cabeceiras
PI,02ª,CABECEIRAS DO PIAUI,2202059,Cabeceiras do Piauí
PB,João Pessoa,Cabedelo,2503209,Cabedelo
RO,CEREJEIRAS,Cabixi,1100031,Cabixi
PE,METROPOLITANA SUL,Cabo de Santo Agostinho,2602902,Cabo de Santo Agostinho
RJ,BAIXADAS LITÔRANEAS,Cabo Frio,3300704,Cabo Frio
MG,SRE POÇOS DE CALDAS,CABO VERDE,3109501,Cabo Verde
SP,BAURU,CABRALIA PAULISTA,3508306,Cabrália Paulista
SP,ITU,CABREUVA,3508405,Cabreúva
PE,SERTÃO DO MÉDIO SÃO FRANCISCO (PETROLINA),Cabrobó,2603009,Cabrobó
SC,Coordenadoria Regional de Educação de Caçador,Caçador,4203006,Caçador
SP,TAUBATE,CACAPAVA,3508504,Caçapava
RS,13º CRE (Bagé),Caçapava do Sul,4302808,Caçapava do Sul
RO,ARIQUEMES,Cacaulândia,1100601,Cacaulândia
RS,8º CRE (Santa Maria),Cacequi,4302907,Cacequi
MT,CÁCERES,Cáceres,5102504,Cáceres
BA,21,CACHOEIRA,2904902,Cachoeira
GO,CRE-QUIRINÓPOLIS,CACHOEIRA ALTA,5204102,Cachoeira Alta
MG,SRE SETE LAGOAS,CACHOEIRA DA PRATA,3109600,Cachoeira da Prata
GO,CRE-SÃO L. M. BELOS,CACHOEIRA DE GOIÁS,5204201,Cachoeira de Goiás
MG,SRE POUSO ALEGRE,CACHOEIRA DE MINAS,3109709,Cachoeira de Minas
MG,SRE ALMENARA,CACHOEIRA DE PAJEÚ,3102704,Cachoeira de Pajeú
PA,cachoeira do arari,cachoeira do arari,1502004,Cachoeira do Arari
